"Title","Access Date","Authors","DOI","Issue","Place Published","Publisher","Secondary Authors","Subsidiary Authors","Tertiary Authors","Type of Publication","Type of Work","Volume","Year of Publication","Pagination","Secondary Title","Nid"
"Alien marine species in the Mediterranean-the 100 ‘Worst Invasives’ and their impact","","N. Streftaris; A. Zenetos","","","","","N. Streftaris; A. Zenetos","N. Streftaris; A. Zenetos","N. Streftaris; A. Zenetos","Journal Article","","7","2006","87–118","Mediterranean Marine Science","1150"
"Halogenated acetic and acrylic acids from the red alga Asparagopsis taxiformis","","F.X. Woolard; R.E. Moore; P.P. Roller","","","","","F.X. Woolard; R.E. Moore; P.P. Roller","F.X. Woolard; R.E. Moore; P.P. Roller","F.X. Woolard; R.E. Moore; P.P. Roller","Journal Article","","18","1979","617–620","Phytochemistry","1149"
"Halogen chemistry of the red alga Asparagopsis","","O. McConnell; W. Fenical","","","","","O. McConnell; W. Fenical","O. McConnell; W. Fenical","O. McConnell; W. Fenical","Journal Article","","16","1977","367–374","Phytochemistry","1148"
"Commercial farming of Asparagopsis armata (Bonnemaisoniceae, Rhodophyta) in Ireland, maintenance of an introduced species?","","S. Kraan; K.A. Barrington","","","","","S. Kraan; K.A. Barrington","S. Kraan; K.A. Barrington","S. Kraan; K.A. Barrington","Journal Article","","17","2005","103–110","Journal of Applied Phycology","1147"
"THE INVASIVE GENUS ASPARAGOPSIS (BONNEMAISONIACEAE, RHODOPHYTA): MOLECULAR SYSTEMATICS, MORPHOLOGY, AND ECOPHYSIOLOGY OF FALKENBERGIA ISOLATES1","","F.Ní Chualáin; C.A. Maggs; G.W. Saunders; M.D. Guiry","","","","","F.Ní Chualáin; C.A. Maggs; G.W. Saunders; M.D. Guiry","F.Ní Chualáin; C.A. Maggs; G.W. Saunders; M.D. Guiry","F.Ní Chualáin; C.A. Maggs; G.W. Saunders; M.D. Guiry","Journal Article","","40","2004","1112–1126","Journal of Phycology","1146"
"Screening of cultivated seaweeds for antibacterial activity against fish pathogenic bacteria","","A. Bansemir; M. Blume; S. Schröder; U. Lindequist","","","","","A. Bansemir; M. Blume; S. Schröder; U. Lindequist","A. Bansemir; M. Blume; S. Schröder; U. Lindequist","A. Bansemir; M. Blume; S. Schröder; U. Lindequist","Journal Article","","252","2006","79–84","Aquaculture","1145"
"Activity of ethanolic extracts of Asparagopsis taxiformis against the major molecular types of Cryptococcus neoformans/C. gattii complex","","G. Genovese; O. Romeo; M. Morabito; D. Alessi; G. Criseo; C. Faggio","","","","","G. Genovese; O. Romeo; M. Morabito; D. Alessi; G. Criseo; C. Faggio","G. Genovese; O. Romeo; M. Morabito; D. Alessi; G. Criseo; C. Faggio","G. Genovese; O. Romeo; M. Morabito; D. Alessi; G. Criseo; C. Faggio","Journal Article","","7","2013","2662–2667","African Journal of Microbiology Research","1142"
"Alien species in the Mediterranean Sea by 2010. A contribution to the application of European Union's Marine Strategy Framework Directive (MSFD). Part I. Spatial distribution","","A. Zenetos; S. Gofas; M. Verlaque; M.Ertan \ cCinar; J.E.Garcia Raso; C.N. Bianchi; C. Morri; E. Azzurro; M. Bilecenoglu; C. Froglia;  ","","","","","A. Zenetos; S. Gofas; M. Verlaque; M.Ertan \ cCinar; J.E.Garcia Raso; C.N. Bianchi; C. Morri; E. Azzurro; M. Bilecenoglu; C. Froglia;  ","A. Zenetos; S. Gofas; M. Verlaque; M.Ertan \ cCinar; J.E.Garcia Raso; C.N. Bianchi; C. Morri; E. Azzurro; M. Bilecenoglu; C. Froglia;  ","A. Zenetos; S. Gofas; M. Verlaque; M.Ertan \ cCinar; J.E.Garcia Raso; C.N. Bianchi; C. Morri; E. Azzurro; M. Bilecenoglu; C. Froglia;  ","Journal Article","","","2010","","","1141"
"First record of the red alga Asparagopsis taxiformis (Delile) Trevisan de Saint-Léon in Greece","","K. Tsiamis; P. Panayotidis; G. Boxshall; F. Boero; S. Olenin;  ","","","","","K. Tsiamis; P. Panayotidis; G. Boxshall; F. Boero; S. Olenin;  ","K. Tsiamis; P. Panayotidis; G. Boxshall; F. Boero; S. Olenin;  ","K. Tsiamis; P. Panayotidis; G. Boxshall; F. Boero; S. Olenin;  ","Journal Article","","2","2007","435–438","Aquatic Invasions","1140"
"Volatile halogen compounds in the alga Asparagopsis taxiformis (Rhodophyta)","","J. Burreson; R.E. Moore; P.P. Roller","","","","","J. Burreson; R.E. Moore; P.P. Roller","J. Burreson; R.E. Moore; P.P. Roller","J. Burreson; R.E. Moore; P.P. Roller","Journal Article","","24","1976","856–861","Journal of Agricultural and Food Chemistry","1139"
"The invasive species Asparagopsis taxiformis (Bonnemaisoniales, Rhodophyta) on Andalusian coast (Southern Spain): reproductive stages, new records and invaded communities","","M.Altamirano Jeschke; A.Román Muñoz; J. De la Rosa; A. Barrajón-Mínguez; A. Barrajón-Menech; C. Moreno-Robledo; C. Arroyo","","","","","M.Altamirano Jeschke; A.Román Muñoz; J. De la Rosa; A. Barrajón-Mínguez; A. Barrajón-Menech; C. Moreno-Robledo; C. Arroyo","M.Altamirano Jeschke; A.Román Muñoz; J. De la Rosa; A. Barrajón-Mínguez; A. Barrajón-Menech; C. Moreno-Robledo; C. Arroyo","M.Altamirano Jeschke; A.Román Muñoz; J. De la Rosa; A. Barrajón-Mínguez; A. Barrajón-Menech; C. Moreno-Robledo; C. Arroyo","Journal Article","","","2008","","","1138"
"Mycobiota associated with the rhodophyte alien species Asparagopsis taxiformis (Delile) Trevisan de Saint-Léon in the Mediterranean Sea","","L. Garzoli; G. Gnavi; G.C. Varese; A.M. Picco","","","","","L. Garzoli; G. Gnavi; G.C. Varese; A.M. Picco","L. Garzoli; G. Gnavi; G.C. Varese; A.M. Picco","L. Garzoli; G. Gnavi; G.C. Varese; A.M. Picco","Journal Article","","36","2015","959–968","Marine Ecology","1137"
"On reproduction in red algae: further research needed at the molecular level","","P. García-Jiménez; R.R. Robaina","","","","","P. García-Jiménez; R.R. Robaina","P. García-Jiménez; R.R. Robaina","P. García-Jiménez; R.R. Robaina","Journal Article","","6","2015","","Frontiers in plant science","1135"
"Schimmelmannia elegans (Gloiosiphoniaceae, Rhodophyta): South Africa's first introduced seaweed?","","O. De Clerck; R.J. Anderson; J.J. Bolton; D. Robertson-Andersson","","","","","O. De Clerck; R.J. Anderson; J.J. Bolton; D. Robertson-Andersson","O. De Clerck; R.J. Anderson; J.J. Bolton; D. Robertson-Andersson","O. De Clerck; R.J. Anderson; J.J. Bolton; D. Robertson-Andersson","Journal Article","","41","2002","184–190","Phycologia","1134"
"A critical survey of the marine algae of southern Australia. II. Phaeophyta","","H.Bryan Spen Womersley","","","","","H.Bryan Spen Womersley","H.Bryan Spen Womersley","H.Bryan Spen Womersley","Journal Article","","15","1967","189–270","Australian journal of botany","1132"
"The marine species of Cladophora (Chlorophyta) from the South African east coast","","F. Leliaert; E. Coppejans","","","","","F. Leliaert; E. Coppejans","F. Leliaert; E. Coppejans","F. Leliaert; E. Coppejans","Journal Article","","76","2003","45–82","Nova Hedwigia","1131"
"Revision of the European species of Cladophora","","C. Van den Hoek","","","","Brill Archive","C. Van den Hoek","C. Van den Hoek","C. Van den Hoek","Book","","","1963","","","1130"
"A taxonomic revision of the marine species of Cladophora (Chlorophyta) along the coasts of Japan and the Russian Far-east","","M. Chihara;  ","","","","","M. Chihara;  ","M. Chihara;  ","M. Chihara;  ","Journal Article","","19","2000","1–246","National Science Museum monographs","1129"
"Codium fragile","","K. Tyson","","","","","K. Tyson","K. Tyson","K. Tyson","Web Article","","","1996","","","1125"
"The genus Codium (Chlorophyta) in southern Australia","","P.C. Silva; H.B.S. Womersley","","","","","P.C. Silva; H.B.S. Womersley","P.C. Silva; H.B.S. Womersley","P.C. Silva; H.B.S. Womersley","Journal Article","","4","1956","261–289","Australian Journal of Botany","1124"
"The benthic algal flora of central San Francisco Bay","","P.A.U.L.C. Silva","","","","","P.A.U.L.C. Silva","P.A.U.L.C. Silva","P.A.U.L.C. Silva","Journal Article","","","1979","287–345","San Francisco Bay: the urbanized estuary","1123"
"The occurrence of Codium fragile subsp. tomentosoides and C. taylorii (Chlorophyta) in North Carolina","","R.B. Searles; M.H. Hommersand; C.D. Amsler","","","","","R.B. Searles; M.H. Hommersand; C.D. Amsler","R.B. Searles; M.H. Hommersand; C.D. Amsler","R.B. Searles; M.H. Hommersand; C.D. Amsler","Journal Article","","27","1984","185–187","Botanica marina","1122"
"Codium fragile ssp fragile","","N.Introduced System","","","","","N.Introduced System","N.Introduced System","N.Introduced System","Website","","","2010","","","1121"
"Effect of wave exposure on morphology, attachment strength and survival of the invasive green alga Codium fragile ssp. tomentosoides","","O. D'Amours; R.E. Scheibling","","","","","O. D'Amours; R.E. Scheibling","O. D'Amours; R.E. Scheibling","O. D'Amours; R.E. Scheibling","Journal Article","","351","2007","129–142","Journal of experimental marine biology and ecology","1120"
"Southern African marine linefish species profiles","","B.Q. Mann","","","","","B.Q. Mann","B.Q. Mann","B.Q. Mann","Journal Article","","9","2013","","Special publication","1119"
"Estuarine fishes","","J.H. Day; S.J.M. Blaber; J.H. Wallace","","","","","J.H. Day; S.J.M. Blaber; J.H. Wallace","J.H. Day; S.J.M. Blaber; J.H. Wallace","J.H. Day; S.J.M. Blaber; J.H. Wallace","Journal","","","1981","","","1118"
"Biology and stock assessment of the Sparids, Acanthopagrus bifasciatus and Argyrops spinifer (Forssk{\aa}l, 1775), in the Southern Arabian Gulf","","E.M. Grandcourt; Z.Al Abdessalaam; F. Francis; A.T.Al Shamsi","","","","","E.M. Grandcourt; Z.Al Abdessalaam; F. Francis; A.T.Al Shamsi","E.M. Grandcourt; Z.Al Abdessalaam; F. Francis; A.T.Al Shamsi","E.M. Grandcourt; Z.Al Abdessalaam; F. Francis; A.T.Al Shamsi","Journal Article","","69","2004","7–20","Fisheries Research","1114"
"FishBase: World Wide Web electronic publication. www.​ fishbase.​ org","","R. Froese; D. Pauly","","","","","R. Froese; D. Pauly","R. Froese; D. Pauly","R. Froese; D. Pauly","Miscellaneous","","","2011","","","1113"
"Some data on sparid fish (Fam. Sparidae) in the Gulf of Aden region","","A.D. Druzhinin","","","","","A.D. Druzhinin","A.D. Druzhinin","A.D. Druzhinin","Journal Article","","15","1975","531–541","J. Ichthyol","1112"
"The IUCN Red List of Threatened Species 2014","","Y. Iwatsuki; B. Russell; K.E. Carpenter; M. B.Q.; C.D. Buxton; D. Pollard; K. Shao; F. Kaymaram; K. Hassan-Al-Khalf; E. Abdulqader; S. Hartmann; J. Bishop; H. Alnazry; S. Alam","","","","","Y. Iwatsuki; B. Russell; K.E. Carpenter; M. B.Q.; C.D. Buxton; D. Pollard; K. Shao; F. Kaymaram; K. Hassan-Al-Khalf; E. Abdulqader; S. Hartmann; J. Bishop; H. Alnazry; S. Alam","Y. Iwatsuki; B. Russell; K.E. Carpenter; M. B.Q.; C.D. Buxton; D. Pollard; K. Shao; F. Kaymaram; K. Hassan-Al-Khalf; E. Abdulqader; S. Hartmann; J. Bishop; H. Alnazry; S. Alam","Y. Iwatsuki; B. Russell; K.E. Carpenter; M. B.Q.; C.D. Buxton; D. Pollard; K. Shao; F. Kaymaram; K. Hassan-Al-Khalf; E. Abdulqader; S. Hartmann; J. Bishop; H. Alnazry; S. Alam","Website","","","2014","","","1111"
"Age, growth and stock assessment of scotsman Polysteganus praeorbitalis and englishman Chrysoblephus anglicus (Pisces: Sparidae), two endemic deepreef fishes off KwaZulu-Natal","","B.Q. Mann; S.T. Fennessy; D.R. Lang; I. Ogunronbi","","","","","B.Q. Mann; S.T. Fennessy; D.R. Lang; I. Ogunronbi","B.Q. Mann; S.T. Fennessy; D.R. Lang; I. Ogunronbi","B.Q. Mann; S.T. Fennessy; D.R. Lang; I. Ogunronbi","Journal Article","","218","2005","1–14","Unpublished Report, Oceanographic Research Institute, Durban","1110"
"Evaluation of linefishery participation and management along the KwaZulu-Natal coast","","B.Q. Mann; L.E. Beckley; R.P. Van der Elst","","","","","B.Q. Mann; L.E. Beckley; R.P. Van der Elst","B.Q. Mann; L.E. Beckley; R.P. Van der Elst","B.Q. Mann; L.E. Beckley; R.P. Van der Elst","Journal Article","","134","1997","1–17","Unpublished Report, Oceanographic Research Institute, Durban","1109"
"Development of the Cape commercial linefishery through the 20th century: evidence for overexploitation","","M.H. Griffiths","","","","","M.H. Griffiths","M.H. Griffiths","M.H. Griffiths","Conference Paper","","","1999","","Third South African Marine Linefish Symposium","1108"
"The fishery for englishman Chrysoblephus anglicus and scotsman Polysteganus praeorbitalis (Pisces: Sparidae) in Natal, South Africa, with notes on their biology.","","P.A. Garratt; S.L. Birnie; S.A. Chater","","","Durban 96","Oceanographic Research Institute","P.A. Garratt; S.L. Birnie; S.A. Chater","P.A. Garratt; S.L. Birnie; S.A. Chater","P.A. Garratt; S.L. Birnie; S.A. Chater","Report","","","1994","1-25","","1107"
"An assessment of participation, catch and effort in the offshore boat-based linefishery in KwaZulu-Natal, South Africa","","S.W. Dunlop; B.Q. Mann","","","","","S.W. Dunlop; B.Q. Mann","S.W. Dunlop; B.Q. Mann","S.W. Dunlop; B.Q. Mann","Journal Article","","35","2013","79–97","African Journal of Marine Science","1106"
"Size-corrected shape variation analysis and quantitative species discrimination in a morphologically conservative catshark genus, Poroderma Smith, 1837 (Chondrichthyes: Carcharhiniformes: Scyliorhinidae)","","B.A. Human","","","","","B.A. Human","B.A. Human","B.A. Human","Journal Article","","2","2006","1–15","African Natural History","1101"
"A taxonomic revision of the catshark genus Poroderma Smith, 1837 (Chondrichthyes: Carchariniformes: Scyliorhinidae)","","B. Human","","","","","B. Human","B. Human","B. Human","Journal Article","","1229","2006","1–32","Zootaxa","1100"
"Taxonomy and molecular phylogeny of some southern African catsharks (Scyliorhinidae; Chondrichthyes)","","B.A. Human","","","","","B.A. Human","B.A. Human","B.A. Human","Journal Article","","","2003","","Unpublished Ph. D. thesis, University of Cape Town, Cape Town","1099"
"Effects of fishing on a temperate reef community in South Africa 1: ichthyofauna","","A. Götz; S.E. Kerwath; C.G. Attwood; H.H. Sauer","","","","","A. Götz; S.E. Kerwath; C.G. Attwood; H.H. Sauer","A. Götz; S.E. Kerwath; C.G. Attwood; H.H. Sauer","A. Götz; S.E. Kerwath; C.G. Attwood; H.H. Sauer","Journal Article","","31","2009","241–251","African Journal of Marine Science","1098"
"Biology and ecology of four catshark species in the Southwestern Cape, South Africa","","A.M. Dainty","","","","University of Cape Town","A.M. Dainty","A.M. Dainty","A.M. Dainty","Thesis","phd","","2002","","","1097"
"Poroderma pantherinum","","B. Human","","","","","B. Human","B. Human","B. Human","Report","","","2009","","The IUCN Red List of Threatened Species 2009","1096"
"Aspects of the reproductive biology of two catsharks, Poroderma africanum and P. pantherinum off the Eastern Cape coast, South Africa","","R. C","","","Grahamstown","Rhodes University","R. C","R. C","R. C","Thesis","BSc Honours","","2002","30","","1091"
"Movement patterns and population dynamics of four catsharks endemic to South Africa","","J. Escobar-Porras","","","","","J. Escobar-Porras","J. Escobar-Porras","J. Escobar-Porras","Journal Article","","","2009","","","1090"
"Poroderma africanum","","C. LJV","","","","","C. LJV","C. LJV","C. LJV","Report","","","2005","","The IUCN Red List of Threatened Species","1089"
"FAO species catalogue. v. 6: Snappers of the world. An annotated and illustrated catalogue of Lutjanid species known to date","","G.R. Allen","","","","FAO","G.R. Allen","G.R. Allen","G.R. Allen","Book","","","1985","","","1085"
"St Lucia Marine Reserve surf-zone fish monitoring and tagging project: a 10-year analysis","","B.Q. Mann","","","","","B.Q. Mann","B.Q. Mann","B.Q. Mann","Journal Article","","300","2012","1–17","Unpublished Report, Oceanographic Research Institute, Durban","1084"
"The ecology of coral reef top predators in the Papah{\=a}naumoku{\=a}kea Marine National Monument","","J.J. Dale; C.G. Meyer; C.E. Clark","","","","","J.J. Dale; C.G. Meyer; C.E. Clark","J.J. Dale; C.G. Meyer; C.E. Clark","J.J. Dale; C.G. Meyer; C.E. Clark","Journal Article","","2011","2010","","Journal of Marine Biology","1083"
"An evaluation of coral reef fish communities in South African marine protected areas","","C. Floros","","","","","C. Floros","C. Floros","C. Floros","Book","","","2010","","","1082"
"Larval development in the lutjanid subfamily Etelinae (Pisces): the genera Aphareus, Aprion, Etelis and Pristipomoides","","J.M. Leis; K. Lee","","","","","J.M. Leis; K. Lee","J.M. Leis; K. Lee","J.M. Leis; K. Lee","Journal Article","","55","1994","46–125","Bulletin of Marine Science","1081"
"The larvae of Indo-Pacific coastal fishes: an identification guide to marine fish larvae","","J.Martin Leis; B.M. Carson-Ewart","","","","Brill","J.Martin Leis; B.M. Carson-Ewart","J.Martin Leis; B.M. Carson-Ewart","J.Martin Leis; B.M. Carson-Ewart","Book","","2","2000","","","1080"
"Towards the declaration of a large marine protected area: a subtidal ichthyofaunal survey of the Pondoland coast in the Eastern Cape, South Africa","","B.Q. Mann; L. Celliers; S.T. Fennessy; S. Bailey; A.D. Wood","","","","","B.Q. Mann; L. Celliers; S.T. Fennessy; S. Bailey; A.D. Wood","B.Q. Mann; L. Celliers; S.T. Fennessy; S. Bailey; A.D. Wood","B.Q. Mann; L. Celliers; S.T. Fennessy; S. Bailey; A.D. Wood","Journal Article","","28","2006","535–551","African Journal of Marine Science","1079"
"Further notes on the biology of East African pelagic fishes of the families Carangidae and Sphyraenidae","","F. Williams","","","","","F. Williams","F. Williams","F. Williams","Journal Article","","31","1965","141–168","East African Agricultural and Forestry Journal","1074"
"Biology and ecology of fishes in southern African estuaries","","A.K. Whitfield","","","","","A.K. Whitfield","A.K. Whitfield","A.K. Whitfield","Journal Article","","","1998","","","1073"
"Use of a marine reserve in Kaneohe Bay, Hawaii by the giant trevally, Caranx ignobilis","","B.M. Wetherbee; K.N. Holland; C.G. Meyer; C.G. Lowe","","","","","B.M. Wetherbee; K.N. Holland; C.G. Meyer; C.G. Lowe","B.M. Wetherbee; K.N. Holland; C.G. Meyer; C.G. Lowe","B.M. Wetherbee; K.N. Holland; C.G. Meyer; C.G. Lowe","Journal Article","","67","2004","253–263","Fisheries Research","1072"
"Marine linefish: priority species and research objectives in southern Africa","","R.P. von der Elst; F. Adkin;  ","","","","","R.P. von der Elst; F. Adkin;  ","R.P. von der Elst; F. Adkin;  ","R.P. von der Elst; F. Adkin;  ","Journal Article","","","1991","","","1071"
"Life history and ecology of large jacks in undisturbed, shallow, oceanic communities.","","A.E. Sudekum; J.D. Parrish; R.L. Radtke; S. Ralston","","","","","A.E. Sudekum; J.D. Parrish; R.L. Radtke; S. Ralston","A.E. Sudekum; J.D. Parrish; R.L. Radtke; S. Ralston","A.E. Sudekum; J.D. Parrish; R.L. Radtke; S. Ralston","Journal Article","","89","1991","493–513","Fishery Bulletin","1070"
"Carangidae","","S.V. WF; S. MM; P.C. Heemstra","","","Cape Town","Struik Publishers","S.V. WF; S. MM; P.C. Heemstra","S.V. WF; S. MM; P.C. Heemstra","S.V. WF; S. MM; P.C. Heemstra","Book Chapter","","","2003","","Smiths' Sea Fishes","1069"
"Carangidae: relationships","","W.F. Smith-Vaniz","","","","","W.F. Smith-Vaniz","W.F. Smith-Vaniz","W.F. Smith-Vaniz","Journal Article","","","1984","522–530","Ontogeny and systematics of fishes","1068"
"Occurrence and diets of juvenile Caranx ignobilis and Caranx melampygus (Teleostei: Carangidae) in the Hanalei River estuary, North Kauai, Hawaii","","G.C. Smith","","","","","G.C. Smith","G.C. Smith","G.C. Smith","Journal Article","","46","1992","103","Pacific Science","1067"
"Micronesian reef fishes: a comprehensive guide to the doral reef fishes of Micronesia","","R.F. Myers","","","","","R.F. Myers","R.F. Myers","R.F. Myers","Journal Article","","","1999","","Coral Graphics, Barrigada, Guam","1066"
"Seasonal and diel movements of giant trevally Caranx ignobilis at remote Hawaiian atolls: implications for the design of marine protected areas","","C.G. Meyer; K.N. Holland; Y.P. Papastamatiou","","","","","C.G. Meyer; K.N. Holland; Y.P. Papastamatiou","C.G. Meyer; K.N. Holland; Y.P. Papastamatiou","C.G. Meyer; K.N. Holland; Y.P. Papastamatiou","Journal Article","","333","2007","","Marine Ecology Progress Series","1065"
"Caranx ignobilis","","M. BQ; R. PV; vander Elst RP","","","Durban","Oceanographic Research Institute","M. BQ; R. PV; vander Elst RP","M. BQ; R. PV; vander Elst RP","M. BQ; R. PV; vander Elst RP","Book Chapter","","7","2000","","South African Marine Linefish Status Reports","1064"
"Fishbase (www database)","","R. Froese; D. Pauly","","","","","R. Froese; D. Pauly","R. Froese; D. Pauly","R. Froese; D. Pauly","Journal Article","","","2012","","World Wide Web Electronic Publications. Available at: http://www. fishbase. org (accessed June 2012)","1063"
"Marine fish eggs and larvae off the east coast of South Africa","","C. AD","www.fisheggsandlarvae.com","","","","C. AD","C. AD","C. AD","Report","World Wide Web electronic publication ","","2012","","Marine fish eggs and larvae off the east coast of South Africa","1062"
"The biology of Carangidae (Teleostei) in Natal estuaries","","S.J.M. Blaber; D.P. Cyrus","","","","","S.J.M. Blaber; D.P. Cyrus","S.J.M. Blaber; D.P. Cyrus","S.J.M. Blaber; D.P. Cyrus","Journal Article","","22","1983","173–188","Journal of Fish Biology","1061"
"Feeding selectivity of a guild of piscivorous fish in mangrove areas of north-west Australia","","S.J.M. Blaber","","","","","S.J.M. Blaber","S.J.M. Blaber","S.J.M. Blaber","Journal Article","","37","1986","329–336","Marine and Freshwater Research","1060"
"The Alcyonacea of southern Africa. Gorgonian octocorals (Coelenterata, Anthozoa)","","G.C. Williams","","","","Cape Town","G.C. Williams","G.C. Williams","G.C. Williams","Book","","","1992","","","1049"
"Seasonality in reproduction of the deep-water pennatulacean coral Anthoptilum grandiflorum","","S. Baillon; J.F. Hamel; V.E. Wareham; A. Mercier","","","","","S. Baillon; J.F. Hamel; V.E. Wareham; A. Mercier","S. Baillon; J.F. Hamel; V.E. Wareham; A. Mercier","S. Baillon; J.F. Hamel; V.E. Wareham; A. Mercier","Journal Article","","161","2014","29–43","Marine biology","1039"
"The Pennatulacea of southern Africa (Coelenterata, Anthozoa)","","G.C. Williams","","","","Cape Town","G.C. Williams","G.C. Williams","G.C. Williams","Book","","","1990","","","1030"
"A field guide to the marine animals of the Cape Peninsula","","G. Jones","","","","Southern Underwater Research Group","G. Jones","G. Jones","G. Jones","Book","","","2008","","","1029"
"Taxonomy, Systematics and Biogeography of South African Actiniaria and Corallimorpharia","","M. Laird","","","","University of Cape Town","M. Laird","M. Laird","M. Laird","Unpublished","PhD thesis","","2012","","","1024"
"Reproduction and population structure","","M. Shick","","","","Springer","M. Shick","M. Shick","M. Shick","Book Chapter","","","1991","228–277","A Functional Biology of Sea Anemones","1023"
"Bycatch in South Africa's inshore trawl fishery as determined from observer records","","C.G. Attwood; S.L. Petersen; S.E. Kerwath","","","","","C.G. Attwood; S.L. Petersen; S.E. Kerwath","C.G. Attwood; S.L. Petersen; S.E. Kerwath","C.G. Attwood; S.L. Petersen; S.E. Kerwath","Journal Article","","68","2011","2163–2174","ICES Journal of Marine Science: Journal du Conseil","1017"
"An assessment of the South African east coast linefishery from Kei Mouth to Stil Bay","","S.Leonard Brouwer","","","","","S.Leonard Brouwer","S.Leonard Brouwer","S.Leonard Brouwer","Journal Article","","","1998","","","1016"
"A preliminary investigation of the marine ichthyofauna in the Tsitsikamma Coastal National Park","","C.D. Buxton; M.J. Smale","","","","","C.D. Buxton; M.J. Smale","C.D. Buxton; M.J. Smale","C.D. Buxton; M.J. Smale","Journal Article","","27","1984","13–24","Koedoe","1015"
"Life history study of red stumpnose (Chrysoblephus gibbiceps), a South African endemic seabream","","M.Elizabeth Van Zyl","","","","University of Cape Town","M.Elizabeth Van Zyl","M.Elizabeth Van Zyl","M.Elizabeth Van Zyl","Thesis","phd","","2013","","","1014"
"South coast reef fish project","","C.D. Buxton","","","","","C.D. Buxton","C.D. Buxton","C.D. Buxton","Report","","","1985","","","1013"
"Movement patterns of offshore linefish based on tagging results","","C.G. Wilke; M.H. Griffiths","","","","","C.G. Wilke; M.H. Griffiths","C.G. Wilke; M.H. Griffiths","C.G. Wilke; M.H. Griffiths","Conference Paper","","","1999","","Proceedings of the third southern African marine linefish symposium, Arniston","1012"
"Chrysoblephus gibbiceps","","M. B.Q."," http://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T170256A1302981.en","","United Kingdom","","M. B.Q.","M. B.Q.","M. B.Q.","Report","","","2014","","The IUCN list of threatened species","1011"
"Aspects of the recreational ski-boat fishery off the Eastern Cape, South Africa","","M.J. Smale; C.D. Buxton","","","","","M.J. Smale; C.D. Buxton","M.J. Smale; C.D. Buxton","M.J. Smale; C.D. Buxton","Journal Article","","3","1985","131–144","South African Journal of Marine Science","1007"
"The Port Alfred fishery: a description and preliminary evaluation of a commercial linefishery on the South African east coast","","T. Hecht; R.L. Tilney","","","","","T. Hecht; R.L. Tilney","T. Hecht; R.L. Tilney","T. Hecht; R.L. Tilney","Journal Article","","8","1989","103–117","South African Journal of Marine Science","1006"
"Long-term movement patterns of five temperate-reef fishes (Pisces: Sparidae): implications for marine reserves","","M.H. Griffiths; C.G. Wilke","","","","","M.H. Griffiths; C.G. Wilke","M.H. Griffiths; C.G. Wilke","M.H. Griffiths; C.G. Wilke","Journal Article","","53","2002","233–244","Marine and Freshwater Research","1005"
"FAO species identification sheets for fishery purposes","","W. Fischer; G. Bianchi","","","Rome","DANIDA","W. Fischer; G. Bianchi","W. Fischer; G. Bianchi","W. Fischer; G. Bianchi","Book Chapter","","1","1984","","Western Indian Ocean (Fishing Areas 51)","1004"
"A retrospective assessment of the Port Alfred linefishery with respect to the changes in the South African fisheries management environment","","B. Donovan","","","","","B. Donovan","B. Donovan","B. Donovan","Book","","","2010","","","1003"
"Trends in commercial handline catches of redfishes along the southern Cape coast, Republic of South Africa","","R.J. Crawford; H.B. Crous","","","","","R.J. Crawford; H.B. Crous","R.J. Crawford; H.B. Crous","R.J. Crawford; H.B. Crous","Journal Article","","25","1982","13–31","Koedoe","1002"
"Abundance and distribution patterns of three temperate marine reef fish (Teleostei: Sparidae) in exploited and unexploited areas off the southern Cape coast","","C.D. Buxton; M.J. Smale","","","","","C.D. Buxton; M.J. Smale","C.D. Buxton; M.J. Smale","C.D. Buxton; M.J. Smale","Journal Article","","","1989","441–451","Journal of Applied Ecology","1001"
"Inshore small-mesh trawling survey of the Cape south coast. Part 4. Contributions to the biology of some Teleostei and Chondrichthyes","","C.D. Buxton; M.J. Smale; J.H. Wallace; V.G. Cockcroft","","","","","C.D. Buxton; M.J. Smale; J.H. Wallace; V.G. Cockcroft","C.D. Buxton; M.J. Smale; J.H. Wallace; V.G. Cockcroft","C.D. Buxton; M.J. Smale; J.H. Wallace; V.G. Cockcroft","Journal Article","","19","1984","180–188","South African Journal of Zoology","1000"
"Mark and recapture studies of two reef sparids in the Tsitsikamma Coastal National Park","","C.D. Buxton; J.C. Alien","","","","","C.D. Buxton; J.C. Alien","C.D. Buxton; J.C. Alien","C.D. Buxton; J.C. Alien","Journal Article","","32","1989","39–45","Koedoe","999"
"The application of yield-per-recruit models to two South African sparid reef species, with special consideration to sex change","","C.D. Buxton","","","","","C.D. Buxton","C.D. Buxton","C.D. Buxton","Journal Article","","15","1992","1–16","Fisheries Research","998"
"Life-history changes in exploited reef fishes on the east coast of South Africa","","C.D. Buxton","","","","","C.D. Buxton","C.D. Buxton","C.D. Buxton","Journal Article","","36","1993","47–63","Environmental Biology of Fishes","997"
"The reproductive biology of Chrysoblephus laticeps and C. cristiceps (Teleostei: Sparidae)","","C.D. Buxton","","","","","C.D. Buxton","C.D. Buxton","C.D. Buxton","Journal Article","","220","1990","497–511","Journal of Zoology","996"
