assessment_id,credit_type,internal_taxon_id,text
12607394,Assessor,63175,"Samways, M.J."
12607818,Assessor,63176,"Suhling, F."
12608714,Assessor,63178,"Suhling, F."
12609384,Assessor,63179,"Suhling, F."
12609692,Assessor,63180,"Suhling, F."
12610805,Assessor,63182,"Suhling, F."
12611098,Assessor,63183,"Clausnitzer, V. & Suhling, F."
12611471,Assessor,63183,"Suhling, F. & Clausnitzer, V."
12611979,Assessor,63184,"Suhling, F."
12612349,Assessor,63185,"Suhling, F."
12615882,Assessor,63191,"Suhling, F. & Samways, M.J."
12616834,Assessor,63193,"Suhling, F."
12617485,Assessor,63194,"Suhling, F."
12617838,Assessor,63195,"Suhling, F."
12627787,Assessor,63201,"Suhling, F."
12628404,Assessor,63202,"Samways, M.J."
12629389,Assessor,63204,"Suhling, F."
12631082,Assessor,63208,"Suhling, F."
12634197,Assessor,63212,"Clausnitzer, V. & Suhling, F."
12635143,Assessor,63214,"Clausnitzer, V. & Suhling, F."
12636031,Assessor,63216,"Samways, M.J."
12637296,Assessor,63218,"Suhling, F."
12637950,Assessor,63219,
12638054,Assessor,63219,"Samways, M.J."
12818297,Assessor,6973,"Samways, M.J."
12818711,Assessor,6975,"Samways, M.J."
3431878,Reviewer,13257,"Kipping, J., Simaika, J.P., Samways, M.J., Suhling, F. (Odonata Red List Authority) & Pollock, C.M. (IUCN Red List Unit)"
4779963,Reviewer,15543,"Kipping, J., Simaika, J.P., Samways, M.J., Suhling, F. (Odonata Red List Authority) & Pollock, C.M. (IUCN Red List Unit)"
5224732,Reviewer,158578,"Kipping, J. & Simaika, J.P."
5224980,Reviewer,158578,"Dijkstra, K.-D.B., Clausnitzer, V., Suhling, F., Samways, M., Samraoui, B., Boudot, J.P., Kipping, J. (Odonata Red List Authority) & Allen, D. (IUCN Freshwater Biodiversity Unit)"
6438588,Reviewer,168007,"Dijkstra, K.-D.B., Clausnitzer, V., Suhling, F., Samways, M., Samraoui, B., Boudot, J.P., Kipping, J. (Odonata Red List Authority) & Allen, D. (IUCN Freshwater Biodiversity Unit)"
6447608,Reviewer,168022,"Kipping, J., Simaika, J.P., Suhling, F. (Odonata Red List Authority) & Pollock, C.M. (IUCN Red List Unit)"
8257239,Reviewer,184261,"Clausnitzer, V., Dijkstra, K.-D.B. & Suhling, F. (Odonata Red List Authority)"
8257444,Reviewer,184261,"Dijkstra, K.-D.B., Clausnitzer, V., Suhling, F., Samways, M., Samraoui, B., Boudot, J.P., Kipping, J. (Odonata Red List Authority) & Allen, D. (IUCN Freshwater Biodiversity Unit)"
9389698,Reviewer,22816,"Kipping, J., Simaika, J.P., Samways, M.J., Suhling, F. (Odonata Red List Authority) & Pollock, C.M. (IUCN Red List Unit)"
10757962,Reviewer,42840,"Kipping, J., Simaika, J.P., Samways, M.J., Suhling, F. (Odonata Red List Authority) & Pollock, C.M. (IUCN Red List Unit)"
10758888,Reviewer,42843,"Simaika, J.P., Kipping, J. & Suhling, F. (Odonata Red List Authority)"
10759240,Reviewer,42845,"Simaika, J.P., Kipping, J., Suhling, F. (Odonata Red List Authority) & Pollock, C.M. (IUCN Red List Unit)"
