Redlist_id,TaxonomicNotes.value,classname,family,genus,infraType,infra_authority,infra_name,internal_taxon_id,kingdom,ordername,phylum,species,taxonomicAuthority
60030,"<em>Pseudagrion</em> is likely to be split into two genera at some point. Until this taxonomic split occurs, the candidates for these two groups are highlighted by ""group A"" and ""group B"". This species is part of group A.",INSECTA,COENAGRIONIDAE,Pseudagrion,,,,60030,ANIMALIA,ODONATA,ARTHROPODA,salisburyense,"Ris, 1921"
60031,"The status of numerous described subspecies in this variable species requires reassessment. <em>Pseudagrion</em> is likely to be split into two genera at some point. Until this taxonomic split occurs, the candidates for these two groups are highlighted by ""group A"" and ""group B"".&#160;<em>Pseudagrion</em>&#160;<em>sjoetedt</em>i is a <span style=""font-weight: bold;"">B group</span> species.",INSECTA,COENAGRIONIDAE,Pseudagrion,,,,60031,ANIMALIA,ODONATA,ARTHROPODA,sjoestedti,"Förster, 1906"
60032,"<em>Pseudagrion</em> is likely to be split into two genera at some point. Until this taxonomic split occurs, the candidates for these two groups are highlighted by ""group A"" and ""group B"". This species belongs to group A.",INSECTA,COENAGRIONIDAE,Pseudagrion,,,,60032,ANIMALIA,ODONATA,ARTHROPODA,spernatum,"Hagen in Selys, 1881"
60033,"The small dark form, <em>rusingae</em>, occurs on the northern shores and islands of Lake Victoria. <br/> <br/><em>Pseudagrion</em> is likely to be split into two genera at some point. Until this taxonomic split occurs, the candidates for these two groups are highlighted by ""group A"" and ""group B"". This species belongs to group B.",INSECTA,COENAGRIONIDAE,Pseudagrion,,,,60033,ANIMALIA,ODONATA,ARTHROPODA,sublacteum,"(Karsch, 1893)"
60034,"<em>Pseudagrion</em> is likely to be split into two genera at some point. Until this taxonomic split occurs, the candidates for these two groups are highlighted by ""group A"" and ""group B"".&#160;<em>Pseudagrion</em>&#160;<em>sudanicum</em> is a <span style=""font-weight: bold;"">B group</span> species.",INSECTA,COENAGRIONIDAE,Pseudagrion,,,,60034,ANIMALIA,ODONATA,ARTHROPODA,sudanicum,"Le Roi, 1915"
60037,"The nominotypical subspecies is restricted to Mauritius Islands and is defined by small dark patches at the base of the forewings and the dark area of the hindwings reaching the nodus. The subspecies&#160;<em>Rhyothemis semihyalina separata</em>&#160;(Selys, 1849) extends over the whole continental African and&#160;Arabian&#160;range of the species and is defined by&#160;forewings lacking dark patches at base (totally hyaline) and the dark area of the hindwings not reaching the nodus.<br/><br/>Another subspecies,&#160;<em>R. s. syriaca</em>&#160;(Selys, 1849) was described from the Jordan Valley, where it was&#160;supposedly&#160;endemic (and is now extinct), and was defined by a dark area at the base of hindwings which do not reach the nodus and where the last row of cells on the posterior wing margin remains hyaline.<br/><br/>Such criteria used for subspecific separation are very weak and lack of&#160;true&#160;statistical basis, and there is some evidences that individuals from Gabon, Namibia and Madagascar may show a dark patch at the base of forewings&#160;and a dark area in hindwings reaching or not the nodus (i.e. &lt;http://www.africa-dragonfly.net/pics/a488/P1010356.jpg&gt;, Pinhey 1962, Suhling and Martens 2007). That suggests a stronger intraspecific variability than initially expected.&#160;<br/><br/>Therefore, most researchers do not retain this subspecific splitting, which is unlikely in such nomadic species, and further genetic study throughout this species range is needed.",INSECTA,LIBELLULIDAE,Rhyothemis,,,,60037,ANIMALIA,ODONATA,ARTHROPODA,semihyalina,"(Desjardins, 1832)"
60038,,INSECTA,LIBELLULIDAE,Sympetrum,,,,60038,ANIMALIA,ODONATA,ARTHROPODA,fonscolombii,"(Selys, 1840)"
60044,,INSECTA,LIBELLULIDAE,Tetrathemis,,,,60044,ANIMALIA,ODONATA,ARTHROPODA,polleni,"(Selys, 1869)"
60048,,INSECTA,LIBELLULIDAE,Tholymis,,,,60048,ANIMALIA,ODONATA,ARTHROPODA,tillarga,"(Fabricius, 1798)"
60049,"This species is sometimes placed in <em>Trapezostigma</em>, which is a synonym of <em>Tramea</em>.",INSECTA,LIBELLULIDAE,Tramea,,,,60049,ANIMALIA,ODONATA,ARTHROPODA,basilaris,"(Palisot de Beauvois, 1807)"
60050,"This species is sometimes placed in <em>Trapezostigma</em>, which should be treated as a synonym of <em>Tramea</em> (Dijkstra <em>et al</em>. 2005).",INSECTA,LIBELLULIDAE,Tramea,,,,60050,ANIMALIA,ODONATA,ARTHROPODA,limbata,"(Desjardins, 1832)"
60051,,INSECTA,LIBELLULIDAE,Trithemis,,,,60051,ANIMALIA,ODONATA,ARTHROPODA,aconita,"Lieftinck, 1969"
60052,"<em>Libellula haematina</em> Rambur, 1842, described from Senegal and Madagascar, and claimed to be&#160;occurring&#160;in La&#160;Réunion, Mauritius and Sicily, represents the&#160;infraspecific variability and cannot be accepted as a valid taxon despite the treatment published by Ris (1912).",INSECTA,LIBELLULIDAE,Trithemis,,,,60052,ANIMALIA,ODONATA,ARTHROPODA,annulata,"(Palisot de Beauvois, 1807)"
60053,<em>Trithemis jacksoni</em> is a synonym (Dijkstra unpubl.).,INSECTA,LIBELLULIDAE,Trithemis,,,,60053,ANIMALIA,ODONATA,ARTHROPODA,arteriosa,"(Burmeister, 1839)"
60056,"The records of&#160;<em>Trithemis donaldsoni</em>&#160;from western Africa and Yemen have been recently ascribed to&#160;<em>T. dejouxi</em>&#160;Pinhey, 1978&#160;(Dijkstra 2007), which is its sister species&#160;(Dijkstra&#160;<em>et al.&#160;</em>2010). Both species may be easily&#160;confounded&#160;and their respective range&#160;is still unclear and needs further studies.",INSECTA,LIBELLULIDAE,Trithemis,,,,60056,ANIMALIA,ODONATA,ARTHROPODA,donaldsoni,"(Calvert, 1899)"
60057,,INSECTA,LIBELLULIDAE,Trithemis,,,,60057,ANIMALIA,ODONATA,ARTHROPODA,dorsalis,"(Rambur, 1842)"
60058,"The occurrence of <em>Trithemis furva</em> in west Africa is uncertain due to possible confusion with <em>T. pruinata</em>, which appears commoner in the west but rarer in the east and south Africa.",INSECTA,LIBELLULIDAE,Trithemis,,,,60058,ANIMALIA,ODONATA,ARTHROPODA,furva,"Karsch, 1899"
60060,,INSECTA,LIBELLULIDAE,Trithemis,,,,60060,ANIMALIA,ODONATA,ARTHROPODA,hecate,"Ris, 1912"
60062,"<p>The former splitting into a nominotypical form and a subspecies <em>Trithemis kirbyi ardens&#160;</em>(Gerstäcker, 1891)&#160;is currently challenged because of different opinions on biogeographic interpretation in the distribution of phenotypes.</p>",INSECTA,LIBELLULIDAE,Trithemis,,,,60062,ANIMALIA,ODONATA,ARTHROPODA,kirbyi,"Selys, 1891"
60065,,INSECTA,LIBELLULIDAE,Trithemis,,,,60065,ANIMALIA,ODONATA,ARTHROPODA,pluvialis,"Förster, 1906"
60068,Subpopulations in the northern Kalahari basin that have been formerly identified as <em>T. stictica</em> are now known as a separate species.,INSECTA,LIBELLULIDAE,Trithemis,,,,60068,ANIMALIA,ODONATA,ARTHROPODA,stictica,"(Burmeister, 1839)"
60069,,INSECTA,LIBELLULIDAE,Trithemis,,,,60069,ANIMALIA,ODONATA,ARTHROPODA,werneri,"Ris, 1912"
60072,,INSECTA,LIBELLULIDAE,Urothemis,,,,60072,ANIMALIA,ODONATA,ARTHROPODA,assignata,"(Selys, 1872)"
